Company,Job Title,Salary,Location,Experience,Start Date,End Date
주식회사 지씨에스,[GS그룹] 엘리시안FS 구내식당 조리원 채용(인천 검단),(연봉)3750만원,인천 서구,경력 무관,25.09.24,25.11.23
체크가드 주식회사,전기 산업설비 안전진단 측정 전문가를 모집합니다.,(연봉)3500만원,서울 중구,경력 3년0월,25.09.24,25.10.08
주식회사 미진푸드,학교급식 식품제조 업체 사무직,(연봉)3000만원,인천 남동구,경력 1년0월,25.09.24,25.11.23
홍익노인재가센터,요양보호사 구인(논현동),(시급)10030원,인천 남동구,경력 무관,25.09.24,25.10.08
행복드림방문요양센터,[도내동] 도래울마을 단지 재가요양보호사 모집,(시급)10030원,경기 고양시,경력 무관,25.09.24,25.10.23
예성사회적협동조합,풍동초등학교 - 학교 야간 당직자 구인(5개월),(시급)11354원,경기 고양시,경력 무관,25.09.24,25.11.23
주식회사 앰앰아이,[경비원모집] 청명주공4단지 경비원모집,(월급)232만원,경기 수원시,경력 무관,25.09.24,25.10.08
가자재가방문요양센터,4등급 할머님 케어_데이케어 가시기 전 지원,(시급)10030원,서울 도봉구,경력 무관,25.09.24,25.10.23
에덴복지재단,[재공고][에덴채용25-05호]에덴장애인종합복지관 신규직원 채용 공고[맞춤지원팀 작업치료 담당],(월급)210만원,서울 구로구,경력 무관,25.09.24,25.10.12
주식회사 제이비에스,신천역 에피트 아파트 경비 모집,(월급)290만원,경기 시흥시,경력 무관,25.09.24,25.11.23
주식회사 앰앰아이,[경비원] 송파한양2차아파트 경비원 채용,(월급)227만원,서울 송파구,경력 무관,25.09.24,25.10.08
신생공업(주),신생공업(주) 서울 영업직 채용,(연봉)3000만원,경기 광명시,경력 무관,25.09.24,25.11.23
(주)에이테크솔루션,건설분야 스마트 모니터링 및 계측관리 분야 인력 모집 (해당분야 경력자 우대),(월급)220만원,경기 의왕시,경력 무관,25.09.24,25.11.23
평창동시니어센터,낮 근무 간호사 또는 간호조무사 채용,(월급)245만원,서울 종로구,경력 무관,25.09.24,25.10.13
(주)케이티팝스,향남역한양수자인디에스티 실내미화원 구인,(월급)176만원,경기 화성시,경력 무관,25.09.24,25.11.23
다정노인복지센터,재가요양보호사 구인,(시급)10030원,인천 미추홀구,경력 무관,25.09.24,25.10.08
신근성세무회계사무소,세무사사무실 직원모집,(월급)210만원,서울 송파구,경력 3년0월,25.09.24,25.10.30
포레스트 요양원,(경기도 화성시 포레스트요양원) 시설요양보호사 모집합니다.,(월급)256만원,경기 화성시,경력 무관,25.09.24,25.10.08
한국다온복지재단사회적협동조합,한국다온 발달장애인방과후활동센터 센터장 채용 공고？,(월급)210만원,서울 강서구,경력 무관,25.09.24,25.11.23
(주)예사랑재가복지센터,[금곡동] 재가요양보호사 구인,(시급)10030원,경기 수원시,경력 무관,25.09.24,25.10.08
주식회사하이테크대원,생산라인 및 외부 청소,(월급)210만원,경기 안산시,경력 무관,25.09.24,25.11.23
리앤아이산부인과,리앤아이산부인과 시설관리 직원 채용합니다.,(월급)250만원,인천 남동구,경력 무관,25.09.24,25.11.23
해찬방문노인복지센터,재가요양보호사 구인 (부평현대1단지),(시급)10030원,인천 부평구,경력 무관,25.09.24,25.10.08
대성도가니탕 주식회사,주방보조,(월급)280만원,서울 서대문구,경력 2년0월,25.09.24,25.10.13
